candidate_identity_key,eccv_first_author_name,source_url,source_kind,claim,qa_actions_or_status
cai_naliiu,Changjin Kim,https://dblp.org/pid/386/7083.html,bibliographic_record,DBLP author record corroborates the CVPR 2024 LAN first-author record and lists later out-of-scope records.,
cai_1xjvdwb,Changwoo Baek,https://www.pnu-cvsp.com/members/changwoo,institutional_profile,"PNU CVSP page identifies Changwoo Baek with a pnu.ac.kr email and lists 3DZip, AgilePruner, and a 2026 RA-L paper.",
cai_1xjvdwb,Changwoo Baek,https://openreview.net/,official_proceedings,No separate pre-cutoff eligible work was verified; the listed ICLR 2026 item falls after the cutoff.,
cai_2jhbnw,Changwoo Jeon,https://jeoncwcw.github.io/,official_personal_profile,Profile identifies Changwoo Jeon as a Yonsei undergraduate and lists only MoCA3D.,
cai_2jhbnw,Changwoo Jeon,https://arxiv.org/abs/2603.19538,official_preprint_metadata,"MoCA3D metadata lists Changwoo Jeon first and gives a 2026-03-20 submission date, after cutoff.",
cai_2jhbnw,Changwoo Jeon,,qa_action,,Downgraded prior_work_review_completeness from complete to incomplete and count_confidence from high to partial: the cited personal page does not establish an authoritative exhaustive publication record for an exact zero.
cai_hrvtmd,Chanhui Lee,https://cvlab.postech.ac.kr/page/members,institutional_profile,POSTECH CV Lab lists Chanhui Lee as an AI Safety member.,
cai_hrvtmd,Chanhui Lee,https://openaccess.thecvf.com/content/CVPR2025/html/Lee_Data-free_Universal_Adversarial_Perturbation_with_Pseudo-semantic_Prior_CVPR_2025_paper.html,official_proceedings,CVPR 2025 record lists Chanhui Lee first for Data-free Universal Adversarial Perturbation with Pseudo-semantic Prior.,
cai_hrvtmd,Chanhui Lee,https://arxiv.org/abs/2502.21048,official_preprint_metadata,"Preprint metadata corroborates title, first author, and 2025 date.",
cai_irr0x2,ChanYeong Hwang,https://arxiv.org/abs/2604.21190,official_preprint,Lists Chan Yeong Hwang as first author of SpatiO and gives the post-cutoff April 2026 date.,
cai_irr0x2,ChanYeong Hwang,,review_status,,identity_unresolved_prior_work_incomplete
cai_1dmv880,Cheng-Yaw Low,https://chengyawlow.github.io/,official_personal_profile,"Identifies Cheng-Yaw Low, Changwon National University affiliation, research profile, and ECCV 2026 queue-title match.",
cai_1dmv880,Cheng-Yaw Low,https://papers.bmvc2023.org/0282.pdf,official_proceedings,"SlackedFace lists Cheng Yaw Low first, but the venue is BMVC and therefore outside the fixed scope.",
cai_1dmv880,Cheng-Yaw Low,https://openaccess.thecvf.com/content/CVPR2023/html/Chai_Recognizability_Embedding_Enhancement_for_Very_Low-Resolution_Face_Recognition_and_Quality_CVPR_2023_paper.html,official_proceedings,"CVPR 2023 paper author order lists Jacky Chen Long Chai, Tiong-Sik Ng, Cheng-Yaw Low; Low is not first-listed.",
cai_bhhbue,Cheolhong Min,https://cheolhong0916.github.io/,official_personal_profile,Confirms Cheolhong Min's SNU CSE/VGI identity and research affiliation.,
cai_bhhbue,Cheolhong Min,https://cheolhong0916.github.io/assets/CV_240912.pdf,official_personal_cv,"Lists ReALFRED at ECCV 2024 with Taewoong Kim first and Cheolhong Min equal-second, plus the CoRL 2024 paper with Jinyeon Kim first.",
cai_bhhbue,Cheolhong Min,https://jaesik.info/lab,official_institutional_lab,Lists Cheolhong Min as a current SNU Machine Perception and Reasoning/VGI PhD student.,
cai_1w4p635,DAEHYEON JEON,https://oroadingo.github.io/eccv2026-vpr/,official_project_page,"Lists Dae Hyeon Jeon first, UNIST affiliation, UNIST email, ECCV 2026 title, and ORCID link.",
cai_1w4p635,DAEHYEON JEON,https://orcid.org/,identity_link,The official project page links an ORCID identity for Dae Hyeon Jeon; the page's linked record is the identity corroboration route.,
cai_1jly6ub,DaeHyun Kim,https://sites.google.com/view/cvlabcnu/people,official_institutional_lab,"Lists Daehyun Kim (김대현), CNU Computer Vision Lab, personal GitHub, and current student period.",
cai_1jly6ub,DaeHyun Kim,https://openaccess.thecvf.com/content/CVPR2023/papers/Shin_Local_Connectivity-Based_Density_Estimation_for_Face_Clustering_CVPR_2023_paper.pdf,official_proceedings,"CVPR 2023 author order lists Junho Shin, Hyo-Jun Lee, Hyunseop Kim, Jong-Hyeon Baek, Daehyun Kim, Yeong Jun Koh; Kim is fifth-listed.",
cai_1jly6ub,DaeHyun Kim,https://github.com/daebakk,identity_link,Personal GitHub linked from the official CNU lab page identifies the account as a CNU CVLAB integrated MS/PhD student.,
cai_riq103,Daehyun We,https://vi.kaist.ac.kr/pages/people/,institutional_profile,Official KAIST VILab page lists Daehyun We in the Robotics Program and as a February 2026 master's graduate continuing to the lab.,
cai_riq103,Daehyun We,https://openreview.net/attachment?id=AGUL15TqLG&name=cV,official_personal_cv,"OpenReview-hosted CV lists Daehyun We, Youngho Yoon, Jiyong Boo and Kuk-Jin Yoon for MotionEditGS and labels it preprint/under review.",
cai_hfk2wa,Daeun Lee,https://openreview.net/profile?id=~Daeun_Lee6,official_profile,OpenReview profile identifies Daeun Lee as an MS student at Seoul National University.,
cai_hfk2wa,Daeun Lee,https://www.linkedin.com/posts/da-eun-lee-9a369427b_eccv2026-3dvision-computervision-activity-7493649977756344320-7vA-,author_post,Author post names Articulated Object Reconstruction from Rest-State Observation as the author's ECCV 2026 paper.,
cai_1frm1kx,Daeun Lee,https://skb.skku.edu/_res/summer/etc/ISS2026_Seungbae_Kim_CV.pdf,institutional_cv_mention,SKKU-hosted CV mentions a Daeun Lee who was a master's student in Applied Artificial Intelligence at SKKU in 2021.,
cai_1frm1kx,Daeun Lee,https://www.linkedin.com/in/daeun-lee12,secondary_profile,A same-name LinkedIn profile shows SKKU education but a different research area; it cannot establish the ECCV DICE identity.,
cai_1frm1kx,Daeun Lee,,review_status,,identity_unresolved_prior_work_incomplete
cai_168kmvb,Daeyeon Kim,https://daeyeonkr.github.io/,official_personal_profile,Official personal site identifies Daeyeon Kim as a POSTECH Computer Graphics Lab master's student and lists REON-NVS with Daeyeon Kim first.,
cai_168kmvb,Daeyeon Kim,https://cg.postech.ac.kr/ourteam/,institutional_profile,POSTECH Computer Graphics Lab official team page lists Daeyeon Kim and research area.,
cai_1o6n2vf,Daeyoung Choi,https://eng.koreacu.ac.kr/cms/FrCon/index.do?MENU_ID=1070,institutional_profile,Official Korea Cyber University page lists Daeyoung Choi as AI and Data Science faculty with choidy@koreacu.ac.kr.,
cai_1o6n2vf,Daeyoung Choi,https://arxiv.org/abs/2507.04310,official_work_source,"ArXiv record lists Gyuejeong Lee, Jihwan Shin, and Daeyoung Choi for Heterogeneous Federated Learning with Prototype Alignment and Upscaling; Daeyoung Choi is not first-listed.",
cai_qbdd0v,Daneul Kim,https://carpedkm.github.io/,official_personal_profile,"Identity, SNU affiliation, advisor, ECCV title, and publication list.",
cai_qbdd0v,Daneul Kim,https://openaccess.thecvf.com/content/CVPR2025/html/Kim_Improving_Editability_in_Image_Generation_with_Layer-wise_Memory_CVPR_2025_paper.html,official_proceedings,CVPR 2025 title and author order: Daneul Kim is first-listed.,
cai_qbdd0v,Daneul Kim,https://openaccess.thecvf.com/content/CVPR2024/html/Kumar_Pick-or-Mix_Dynamic_Channel_Sampling_for_ConvNets_CVPR_2024_paper.html,official_proceedings,"CVPR 2024 author order places Ashish Kumar first, so Daneul Kim is not first-listed.",
cai_oxumrd,Doeon Kim,https://kimdoeon.github.io/,official_personal_profile,"Identity, Soongsil affiliation, research area, and ECCV 2026 WiFi-JEPA author list.",
cai_oxumrd,Doeon Kim,https://wifi-jepa.github.io/,official_project_page,Queue-matching WiFi-JEPA project and author identity.,
cai_1t7khxo,Dohun Lee,https://github.com/DoHunLee1,official_profile,KAIST AI affiliation and official VideoGuide repository ownership.,
cai_1t7khxo,Dohun Lee,https://library.kaist.ac.kr/search/detail/view.do?bibCtrlNo=1152117&flag=dissertation,official_institutional_record,"KAIST record identifies Dohun Lee as author of Memory-V2V, matching the ECCV queue title.",
cai_1t7khxo,Dohun Lee,https://openaccess.thecvf.com/content/CVPR2025/html/Lee_VideoGuide_Improving_Video_Diffusion_Models_without_Training_Through_a_Teachers_CVPR_2025_paper.html,official_proceedings,CVPR 2025 VideoGuide author order lists Dohun Lee first.,
cai_1t7khxo,Dohun Lee,,qa_action,,Downgraded count_confidence from high to partial because prior_work_review_completeness is incomplete and the exact all-venue count is not established.
cai_qogv77,Dohyun Kim,https://dohyun-as.github.io/,official_personal_profile,"Identity, Korea University affiliation, ECCV title, and publication list.",
cai_qogv77,Dohyun Kim,https://openaccess.thecvf.com/content/CVPR2025/html/Kim_Random_Conditioning_for_Diffusion_Model_Compression_with_Distillation_CVPR_2025_paper.html,official_proceedings,CVPR 2025 author order lists Dohyun Kim first.,
cai_1a82rny,Dong-Hyun Moon,https://imageinfo.inha.ac.kr/research.html,official_institutional_profile,"Inha lab identity/affiliation, ECCV 2026 SARIF first-author listing, and publication record.",
cai_1a82rny,Dong-Hyun Moon,https://openaccess.thecvf.com/content/ICCV2025/html/Nam_M2SFormer_Multi-Spectral_and_Multi-Scale_Attention_with_Edge-Aware_Difficulty_Guidance_for_ICCV_2025_paper.html,official_proceedings,ICCV 2025 M2SFormer author order lists Ju-Hyeon Nam first and Dong-Hyun Moon second.,
cai_4momyb,Dong-Woo Kim,https://mintlab.korea.ac.kr/TDSR-VLA/index.html,official_project_page,Dongwoo Kim is listed as an author (co-first marker) and the authors are affiliated with Korea University; the page identifies the ECCV 2026 paper.,
cai_1r34pvk,Donggeon Bae,https://iilab.io/IFIN/,official_project_page,Donggeon Bae is listed first on the IFIN project and the contact address is donggeonbae@snu.ac.kr; the page cites ECCV 2026.,
cai_1r34pvk,Donggeon Bae,https://arxiv.org/abs/2607.04608,official_preprint_record,"The author list starts with Donggeon Bae and the work is dated July 2026, after the audit cutoff.",
cai_14zol5l,Donghyun Kim,https://dannyboy0103.github.io/,official_personal_page,Donghyun Kim's publication list includes PLATYPUS (AAAI 2025) and Delaunay Canopy (ECCV 2026).,
cai_14zol5l,Donghyun Kim,https://dannyboy0103.github.io/delaunay-canopy/,official_project_page,Delaunay Canopy lists Donghyun Kim first and gives Yonsei University and Emory University affiliations.,
cai_180le5h,Dongsu Song,https://proceedings.neurips.cc/paper_files/paper/2024/hash/9e770fcdb456400325c11d58b3a04d08-Abstract-Conference.html,official_proceedings,"The work is listed in the NeurIPS 2024 Main Conference Track with authors Dongsu Song, Daehwa Ko, Jay Hoon Jung.",
cai_180le5h,Dongsu Song,https://proceedings.neurips.cc/paper_files/paper/2024/file/9e770fcdb456400325c11d58b3a04d08-Paper-Conference.pdf,official_paper_pdf,The paper PDF identifies Dongsu Song with Korea Aerospace University affiliation and the NeurIPS 2024 proceedings citation.,
cai_180le5h,Dongsu Song,,qa_action,,Normalized venue from “NeurIPS 2024” to the in-scope venue label “NeurIPS”.
cai_1q4k30l,E In Son,https://ece.snu.ac.kr/en/research-faculty/research/groups?labidx=48&md=view,institutional_profile,SNU Vehicle Intelligence Lab page lists E-In Son on RA-L and ICRA publications and identifies the lab's SNU affiliation.,
cai_1q4k30l,E In Son,https://arxiv.org/abs/2402.15363,official_preprint_record,"Follow the Footprints lists E In Son second, not first, and is associated with ICRA 2024.",
cai_1q4k30l,E In Son,https://www.proceedings.com/content/075/075181webtoc.pdf,official_proceedings_index,"ICRA 2024 contents list Follow the Footprints with Yurim Jeon, E In Son, Seung-Woo Seo.",
cai_qiaew2,Elena Camuffo,https://elenacamuffo.github.io/,official_personal_site,"Identity, research profile, and MOCHA/ECCV author record.",
cai_qiaew2,Elena Camuffo,https://research.unipd.it/handle/11577/3548355,institutional_repository,"Official institutional record for the IROS 2024 paper, including author order, venue, year, and DOI.",
cai_1hjrh6i,Eungjune Shim,https://ejshim.github.io/,official_personal_site,"Identity, CLO affiliation, ECCV 2026 DiffGI, and selected publication history.",
cai_1hjrh6i,Eungjune Shim,https://cg.catholic.ac.kr/publications/,institutional_lab_publications,Institutional publication records corroborate Eungjune Shim's prior authorship and venues.,
cai_ojgfc2,Eunyi Lyou,https://vip.snu.ac.kr/viplab/pub.html,official_institutional_lab_page,"Identity, ECCV 2026 candidate title, and complete lab publication listing including Eunyi Lyou's WACV 2024 paper.",
cai_ojgfc2,Eunyi Lyou,https://viplab.snu.ac.kr/,official_institutional_lab_page,SNU lab news identifies Eunyi Lyou as a lab member and confirms the ECCV 2026 acceptance context.,
cai_cap2jl,GaHye Lee,https://cg.postech.ac.kr/ourteam,official_institutional_lab_page,Identity and POSTECH affiliation for Gahye Lee.,
cai_cap2jl,GaHye Lee,https://cg.postech.ac.kr/category/news/,official_institutional_lab_news,Official lab announcement listing Gahye Lee first on StructureGS at ECCV 2026.,
cai_cap2jl,GaHye Lee,https://waldstein94.github.io/deep-polycuboid-fitting/,official_project_page,Gahye Lee first-authored 3DV 2025 prior work; 3DV is excluded from the fixed venue scope.,
cai_8a1asp,Gahyeon Kim,https://ksp.etri.re.kr/ksp/article/read?id=67722,official_institutional_repository,"ETRI affiliation, Gahyeon Kim authorship, paper title, and ICCE Asia 2023 venue/date.",
cai_aj6w7z,Ganghyeon Lee,https://unist.info/?page_id=2181,institutional_profile,"Lists Ganghyeon Lee (이강현), MS-PhD integrated course, interests Multi-Agent System and Robot Perception.",
cai_aj6w7z,Ganghyeon Lee,https://sites.google.com/view/swyoon89/publications,institutional_publications,"Lists FeDepth: Federated Learning for Depth Estimation under Robot Heterogeneity, first author Ganghyeon Lee, ECCV 2026.",
cai_aj6w7z,Ganghyeon Lee,https://arxiv.org/abs/2608.01129,official_work_source,Confirms FeDepth title and author order; publication is after the 2026-03-05 cutoff.,
cai_96gbai,Gayoung KIM,https://bigdataewha.github.io/en/team.html,institutional_profile,"Lists Gayoung Kim (김가영), Ewha doctoral student, mathematics-education degrees, and curriculum-learning research in CV/NLP.",
cai_96gbai,Gayoung KIM,https://bigdataewha.github.io/ko/team.html,institutional_profile,Korean lab profile independently confirms Gayoung Kim's Ewha enrollment and curriculum-learning research.,
cai_18fxd9z,Geo Ahn,https://ahngeo.github.io/,official_personal_profile,"Confirms Kyung Hee University identity, advisor, and exact ECCV 2026 paper with Geo Ahn first-listed.",
cai_18fxd9z,Geo Ahn,https://arxiv.org/abs/2312.00826,official_work_source,DEVIAS author list and title.,
cai_18fxd9z,Geo Ahn,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/8652_ECCV_2024_paper.php,official_proceedings,ECCV 2024 proceedings record for DEVIAS.,
cai_18fxd9z,Geo Ahn,,qa_action,,Corrected the broken CVF DEVIAS URL to the authoritative ECVA ECCV 2024 proceedings record.
cai_1bubn2q,Geon Tack Lee,https://davian.kaist.ac.kr/people,institutional_profile,Lists Geon Tack Lee at KAIST DAVIAN with geontack@kaist.ac.kr and Efficient AI/CV interests.,
cai_1bubn2q,Geon Tack Lee,https://kr.linkedin.com/in/geon-tack-lee,identity_profile,"Links the person to NYU Abu Dhabi, KAIST AI, and identifies the ECCV 2026 pruning work as his first paper.",
cai_1bubn2q,Geon Tack Lee,https://arxiv.org/abs/2608.17657,official_work_source,"Confirms exact pruning title, first author, and post-cutoff 2026 date.",
cai_4b1r0v,Geon Yeong Park,https://geonyeong-park.github.io/,official_personal_profile,Confirms KAIST identity and exact 3D-ReGen/MeshReGen paper.,
cai_4b1r0v,Geon Yeong Park,https://openaccess.thecvf.com/content/ICCV2025/html/Park_Inference-Time_Diffusion_Model_Distillation_ICCV_2025_paper.html,official_proceedings,ICCV 2025 paper and author order.,
cai_4b1r0v,Geon Yeong Park,https://openaccess.thecvf.com/content/CVPR2024/html/Park_Self-supervised_Debiasing_Using_Low_Rank_Regularization_CVPR_2024_paper.html,official_proceedings,CVPR 2024 paper and author order.,
cai_4b1r0v,Geon Yeong Park,https://papers.nips.cc/paper_files/paper/2023/hash/,official_proceedings,NeurIPS 2023 work is listed on the author's official publication record.,
cai_4b1r0v,Geon Yeong Park,,qa_action,,Corrected the broken CVF CVPR 2024 URL slug capitalization to the authoritative proceedings record.
cai_1sefwgj,Geonho Bang,https://geonhobang.github.io/,official_personal_profile,"Identity, Seoul/Hanyang/SNU lab context, research topic, and publication list.",
cai_1sefwgj,Geonho Bang,,qa_action,,Removed evidence row 3: author is explicitly third-listed; only first-listed eligible works may appear in evidence_rows.
cai_pm0chr,GeonU Kim,https://kim-geonu.github.io/,official_personal_profile,"Identity, KAIST affiliation, research interests, and complete publication list.",
cai_pm0chr,GeonU Kim,https://ami.kaist.ac.kr/members/kim-geonu,institutional_profile,KAIST AMI Lab membership and identity corroboration.,
cai_pm0chr,GeonU Kim,,qa_action,,Removed evidence row 1: author is explicitly second-listed.
cai_pm0chr,GeonU Kim,,qa_action,,Removed evidence row 2: author is explicitly third-listed.
cai_pm0chr,GeonU Kim,,qa_action,,Removed evidence row 3: author is explicitly third-listed. Only first-listed eligible works may appear in evidence_rows.
cai_5e0m3b,Geuntaek Lim,https://limgeuntaekk.github.io/,official_personal_profile,"Identity, Sejong affiliation, advisor, and publication list.",
cai_5e0m3b,Geuntaek Lim,https://www.rcv.sejong.ac.kr/members,institutional_profile,Sejong RCV member listing confirms Geuntaek Lim and Sejong program.,
cai_1s5qwf4,gilha lee,https://kr.linkedin.com/in/gilha-lee-094b87430,professional_profile,"Identity, SeoulTech PhD affiliation, and ECCV 2026 S3-Prune listing.",
cai_1s5qwf4,gilha lee,https://idsl.seoultech.ac.kr/?p=publication,institutional_lab_publications,SEOULTECH IDSL publication context including Gilha Lee.,
cai_1gstyyj,Gwanhyeong Koo,https://kookie12.github.io/,official_personal_profile,"Identity, KAIST affiliation, and dated conference publication list.",
cai_1gstyyj,Gwanhyeong Koo,,qa_action,,Removed evidence row 1: author is explicitly second-listed.
cai_1gstyyj,Gwanhyeong Koo,,qa_action,,Removed evidence row 3: author is explicitly fourth-listed.
cai_1gstyyj,Gwanhyeong Koo,,qa_action,,Removed evidence row 4: author is explicitly second-listed.
cai_1gstyyj,Gwanhyeong Koo,,qa_action,,Removed evidence row 6: author is explicitly second-listed.
cai_1gstyyj,Gwanhyeong Koo,,qa_action,,Removed evidence row 7: author is explicitly third-listed.
cai_1gstyyj,Gwanhyeong Koo,,qa_action,,Removed evidence row 8: author is explicitly second-listed. Only first-listed eligible works may appear in evidence_rows.
cai_xslldp,Habin Lim,https://vgi.korea.ac.kr/html/members.html,official_institutional_profile,Official Korea University VGI profile identifies Habin Lim as a graduate student.,
cai_xslldp,Habin Lim,https://openaccess.thecvf.com/content/ICCV2025/html/Lim_ConceptSplit_Decoupled_Multi-Concept_Personalization_of_Diffusion_Models_via_Token-wise_Adaptation_ICCV_2025_paper.html,official_proceedings,"Official CVF ICCV 2025 record lists Habin Lim first, with Korea University affiliation and proceedings metadata.",
cai_xslldp,Habin Lim,,qa_action,,Downgraded count_confidence from high to partial because prior_work_review_completeness is incomplete and the exact all-venue count is not established.
cai_ms06pb,HAKSU LIM,https://eccv.ecva.net/Conferences/2026/AcceptedPapers,official_conference_listing,Official ECCV 2026 accepted-paper listing is the source context for the candidate's title and author record.,
cai_ms06pb,HAKSU LIM,https://arxiv.org/abs/2607.09753,official_preprint_record,Post-cutoff preprint lists Haksoo Lim first on the same candidate title; it cannot establish a prior count or identity by itself.,
cai_ms06pb,HAKSU LIM,,review_status,,identity_unresolved_prior_work_incomplete
cai_7t4rru,Hana Kim,https://eccv.ecva.net/Conferences/2026/AcceptedPapers,official_conference_listing,Official ECCV 2026 listing identifies CoIn and Hana Kim as first author.,
cai_7t4rru,Hana Kim,https://arxiv.org/abs/2606.27584,official_preprint_record,Post-cutoff arXiv record lists Hana Kim first on CoIn; it does not establish the LG Electronics identity linkage.,
cai_7t4rru,Hana Kim,,review_status,,identity_unresolved_prior_work_incomplete
cai_fc52e2,Hangyeol Lee,https://arxiv.org/abs/2501.05680,official_preprint_record,Official arXiv record lists Hangyeol Lee as a non-first coauthor on EXION; it does not resolve the KAIST candidate identity.,
cai_fc52e2,Hangyeol Lee,https://hurgroup.github.io/members/hangyeollee_cv.pdf,official_personal_cv,"Official CV identifies a Hangyeol Lee at GIST/Hanyang in robotics, demonstrating unresolved same-name affiliation conflict.",
cai_fc52e2,Hangyeol Lee,https://arxiv.org/abs/2605.22011,official_preprint_record,Post-cutoff record lists Hangyeol Lee first on the candidate-like diffusion title; publication is after the cutoff and identity linkage remains unverified.,
cai_fc52e2,Hangyeol Lee,,review_status,,identity_unresolved_prior_work_incomplete
cai_1lalvrp,Hee-Jun Jung,https://maroo-sky.github.io/,official_personal_site,Official site identifies Hee-Jun Jung at GIST and lists his publication history and ECCV 2026 paper.,
cai_1lalvrp,Hee-Jun Jung,https://maroo-sky.github.io/cv,official_cv,Official CV link from the personal site is the publication-history source used for the completeness review.,
cai_1hroo1u,HEEJU HAN,https://pnu-viplab.github.io/publication/,institutional_profile,Official PNU VIP Lab page lists Heeju Han first for the ECCV 2026 paper Towards Sparsely Annotated Open-World Object Detection.,
cai_1hroo1u,HEEJU HAN,https://arxiv.org/abs/2608.12714,official_preprint_metadata,Preprint metadata lists HeeJu Han first and gives the ECCV-target title; its August 2026 date is after the audit cutoff.,
cai_1a9381q,Heejun Park,https://vi.kaist.ac.kr/pages/people/,institutional_profile,KAIST VILab lists Heejun Park in the Division of Future Vehicle with 3D computer vision interests.,
cai_1a9381q,Heejun Park,https://openaccess.thecvf.com/content/ICCV2025/papers/Chae_Doppler-Aware_LiDAR-RADAR_Fusion_for_Weather-Robust_3D_Detection_ICCV_2025_paper.pdf,official_proceedings,Official ICCV 2025 paper lists Yujeong Chae first and Heejun Park second; therefore it is not an eligible first-listed prior for this candidate.,
cai_1a9381q,Heejun Park,https://vi.kaist.ac.kr/assets/docs/Prof_Kuk-Jin_Yoon_CV.pdf,institutional_cv,KAIST professor CV corroborates the ICCV 2025 Doppler-Aware LiDAR-Radar Fusion publication and Heejun Park's coauthorship.,
cai_160v8n0,Hoiyeong Jin,https://davian.kaist.ac.kr/people,institutional_profile,Official KAIST DAVIAN page lists Hoiyeong Jin with computer vision and generative models interests and a kaist.ac.kr email.,
cai_160v8n0,Hoiyeong Jin,https://davian.kaist.ac.kr/publication,institutional_publication_list,Official DAVIAN publication list places Hoiyeong Jin first on InsertAnywhere and labels it ECCV 2026.,
cai_160v8n0,Hoiyeong Jin,https://pure.kaist.ac.kr/en/publications/promptdresser-improving-the-quality-and-controllability-of-virtua/,institutional_publication_record,KAIST publication record lists PromptDresser as ICCV 2025 with Hoiyeong Jin second-listed.,
cai_1y9fxpr,Hojun Song,https://sites.google.com/view/knuvi/member,institutional_profile,Official KNUVI member page lists Hojun Song as a KNU PhD student.,
cai_1y9fxpr,Hojun Song,https://hojunking.github.io/webpages/G2P/,official_personal_profile,Hojun Song's official project page lists him first for G2P and identifies Kyungpook National University affiliations; the work is ECCV 2026.,
cai_1y9fxpr,Hojun Song,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003271316,official_publisher_metadata,"KCI record lists Hojun Song third on a 2025 IEIE Smart Processing & Computing article, outside the fixed venue scope and not first-listed.",
cai_1ojjouf,Hongjae Lee,https://sites.google.com/view/hongjae/home,official_personal_profile,Official profile identifies Hongjae Lee at Korea University and lists Text Embedding Knows How to Quantize Text-Guided Diffusion Models as ICCV 2025 plus the two ECCV 2026 target papers.,
cai_1ojjouf,Hongjae Lee,https://openaccess.thecvf.com/content/ICCV2025/html/Lee_Text_Embedding_Knows_How_to_Quantize_Text-Guided_Diffusion_Models_ICCV_2025_paper.html,official_proceedings,Official CVF ICCV 2025 record lists Hongjae Lee first and identifies the paper as an ICCV proceedings full paper.,
cai_4zux6g,Hoonhee Cho,https://chohoonhee.github.io/hoonheecho/,official_personal_profile,"Official profile identifies Hoonhee Cho at KAIST, gives education/affiliation history, and lists the complete publication record used for this review.",
cai_evpjgt,HoTaek Oh,https://sites.google.com/view/cvlabknu,institutional_profile,Official KNU Computer Vision Lab page names HoTaek Oh and associates him with the lab's ECCV 2026 work.,
cai_evpjgt,HoTaek Oh,https://link.springer.com/book/10.1007/978-3-032-37016-7,official_proceedings,Springer ECCV 2026 proceedings list HoTaek Oh first for DA-F2F; this is after the audit cutoff.,
