candidate_identity_key,eccv_first_author_name,eccv_first_author_affiliation_raw,primary_affiliation_category,eccv_selected_paper_count,eccv_virtual_poster_ids,eccv_titles,identity_resolution_status,identity_profile_url,preferred_identity_evidence_source,prior_work_cutoff,verified_prior_work_row_count,review_status,notes
cai_1wxi2l,Chaeyeon Lee,Korea University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5220,TaxoMIL: Taxonomy-Constrained Learning for Hierarchical Whole Slide Image Analysis,unresolved,,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_unresolved_prior_work_incomplete,The official personal page is a plausible but affiliation/topic-incompatible lead; no eligible prior work is entered without identity resolution.
cai_naliiu,Changjin Kim,Hanyang University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5875,Breaking High Confidence: Practical Face Impersonation under High-Security Thresholds,resolved,https://cryptology-algorithm-lab.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_complete,One eligible prior first-listed paper is verified; AAAI 2026 GuidNoise is after the cutoff and is outside the fixed venue scope. ICTC and CoRR records are also outside scope.
cai_1xjvdwb,Changwoo Baek,Pusan National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5396,3DZip: Spatial-Aware Feature Diversity-Guided Token Compression for 3D Question Answering,resolved,https://www.pnu-cvsp.com/members/changwoo,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"The lab page lists ICLR 2026 AgilePruner and RA-L 2026 Target-Aware Change Detection, but their publication dates are after the 2026-03-05 cutoff; 3DZip itself is the ECCV 2026 target. No pre-cutoff eligible first-listed work was found on the official publication list."
cai_2jhbnw,Changwoo Jeon,Yonsei University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4711,MoCA3D: Monocular 3D Bounding Box Prediction in the Image Plane,resolved,https://jeoncwcw.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"The only listed work is MoCA3D, dated ECCV 2026 on the personal page and submitted to arXiv on 2026-03-20, both after the cutoff; no earlier eligible work is listed."
cai_efi1pk,Changyeon Won,GIST,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5137,JacobianAvatar: Temporally Consistent Semi-rigid Avatar Reconstruction from a Monocular Video,resolved,https://scholar.gist.ac.kr/handle/local/21806,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_incomplete,At least one earlier eligible first-listed paper is verified. Exhaustive count still pending.
cai_hrvtmd,Chanhui Lee,POSTECH,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,3278,Universal Image Immunization against Diffusion-based Image Editing via Semantic Injection,resolved,https://cvlab.postech.ac.kr/page/members,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_incomplete,One verified eligible first-listed CVPR paper establishes a positive prior count. An exhaustive exact count was not asserted because no complete official CV/publication list was located.
cai_irr0x2,ChanYeong Hwang,Korea University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5289,SpatiO: Adaptive Test-Time Orchestration of Vision-Language Agents for Spatial Reasoning,unresolved,,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_unresolved_prior_work_incomplete,"The arXiv SpatiO record is dated April 2026, after the 2026-03-05 cutoff, and is not itself an eligible prior work. Identity must be resolved before any prior-paper count can be asserted."
cai_1dmv880,Cheng-Yaw Low,Changwon National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4527,Dual-Margin Embedding for Fine-Grained Long-Tailed Plant Taxonomy,resolved,https://chengyawlow.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,No eligible prior first-listed work was verified. SlackedFace is first-listed but BMVC 2023 is excluded; Recognizability Embedding Enhancement is CVPR 2023 but Low is third-listed. The official profile does not provide a dated exhaustive publication ledger sufficient for an exact zero claim.
cai_bhhbue,Cheolhong Min,Seoul National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5463,Why Far Looks Up: Probing Spatial Representation in Vision-Language Models,resolved,https://cheolhong0916.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_complete,Official CV/publication evidence reviewed through the cutoff. No eligible fixed-scope prior work with Cheolhong Min first-listed was found. The ECCV 2024 ReALFRED paper is not first-authored by Min and therefore is excluded from the primary statistic.
cai_1w4p635,DAEHYEON JEON,UNIST,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,3932,Ray-Path-Aware Virtual Point Removal on 2D Layer-Wise Nearest Point Map,resolved,https://oroadingo.github.io/eccv2026-vpr/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"The official project page is for the ECCV 2026 paper itself and supplies identity evidence, but no prior publication CV or complete official publication list was located; no eligible prior first-listed work is asserted."
cai_1jly6ub,DaeHyun Kim,Chungnam National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4835,SAND: Stage-Aware Noise Decomposition for Training-Free Diffusion Guidance,resolved,https://sites.google.com/view/cvlabcnu/people,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"The verified CVPR 2023 Local Connectivity-Based Density Estimation paper is eligible by venue/date but Daehyun Kim is fifth-listed, so it contributes no first-author count. The official lab page does not provide an exhaustive publication ledger; no eligible prior first-listed work is asserted."
cai_riq103,Daehyun We,Korea Advanced Institute of Science & Technology; Korea Advanced Institute of Science & Technology,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4803,MotionEditGS: Editing Motion and Appearance of 4D Scenes from Monocular Video via Semantically Anchored Gaussians,resolved,https://vi.kaist.ac.kr/pages/people/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"No eligible prior first-listed top-tier work was verified in this limited pass. The official CV labels MotionEditGS as preprints/under review, and it is the ECCV 2026 queue paper itself, so it is not prior under the cutoff. Exhaustive venue-by-venue review remains pending."
cai_hfk2wa,Daeun Lee,Seoul National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4279,Articulated Object Reconstruction from Rest-State Observation,resolved,https://openreview.net/profile?id=~Daeun_Lee6,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,No eligible prior first-listed top-tier work was verified in this limited pass. The queue paper is ECCV 2026 and after the prior-work cutoff. Exhaustive review remains pending.
cai_1frm1kx,Daeun Lee,Sung Kyun Kwan University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5616,DICE: Disentangled Instance-Class knowlEdge prompt tuning via SAE for Vision-Language Models,unresolved,,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_unresolved_prior_work_incomplete,Identity is unresolved; no prior-paper count is asserted. The SKKU-hosted CV is only a same-name/affiliation lead and not proof of identity.
cai_168kmvb,Daeyeon Kim,POSTECH,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,3904,REON-NVS: Real-Time Online Novel-View Synthesis from Sparse-View Videos,resolved,https://daeyeonkr.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"The official page lists a CVPR 2026 paper where Daeyeon Kim is not first, but CVPR 2026 is after the cutoff and therefore not counted. No eligible prior first-listed work was verified in this limited pass; exhaustive review remains pending."
cai_1o6n2vf,Daeyoung Choi,Korea Cyber University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4679,Prototype Normalization: Optimizing Prototype Separation for Heterogeneous Federated Learning,resolved,https://eng.koreacu.ac.kr/cms/FrCon/index.do?MENU_ID=1070,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"The 2025 Heterogeneous Federated Learning with Prototype Alignment and Upscaling record lists Daeyoung Choi after Gyuejeong Lee and Jihwan Shin, so it is not an eligible first-listed prior work; it is also an arXiv preprint rather than an in-scope venue. No eligible prior first-listed work was verified in this limited pass."
cai_qbdd0v,Daneul Kim,Seoul National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5079,Learning Zero-Shot Subject-Driven Video Generation Using 1% Compute,resolved,https://carpedkm.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_complete,"One verified eligible prior first-listed work found. The official CVF record shows Daneul Kim first-listed on the CVPR 2025 paper. Pick-or-Mix (CVPR 2024) lists Ashish Kumar first, and Online Generic Event Boundary Detection (ICCV 2025) lists Hyung Rok Jung first (Daneul is co-first/second-listed), so those are excluded under the first-listed rule."
cai_oxumrd,Doeon Kim,Soongsil university,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5874,WiFi-JEPA: Self-supervised Learning for WiFi-CSI 3D Human Pose Estimation,resolved,https://kimdoeon.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"No eligible prior top-tier first-listed paper was found on the official profile/CV-linked publication record. The site lists ECCV 2026, later 2026 preprints, and under-review work; because the available CV/publication page is not an exhaustive historical bibliography, exact zero cannot be asserted."
cai_18x3r1d,Dogyun Park,Korea University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5488,EFlow: Fast Few-Step Video Generator Training from Scratch via Efficient Solution Flow,resolved,https://mlv.korea.edu/people,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_incomplete,At least one earlier eligible first-listed paper is verified. Exhaustive count still pending.
cai_1t7khxo,Dohun Lee,Korea Advanced Institute of Science and Technology,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4121,Memory-V2V: Memory-Augmented Video-to-Video Diffusion for Consistent Multi-Turn Editing,resolved,https://github.com/DoHunLee1,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_incomplete,"One verified eligible prior first-listed paper is sufficient to establish that the candidate is not first-paper eligible. Exact historical count was not established from an exhaustive CV, so completeness remains incomplete."
cai_qogv77,Dohyun Kim,Korea University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4303,Direct Diffusion Score Preference Optimization via Stepwise Contrastive Policy-Pair Supervision,resolved,https://dohyun-as.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_complete,"The official homepage publication list contains the prior CVPR 2025 paper and the ECCV 2026 queue paper. Random Conditioning has an equal-contribution marker for Dohyun Kim and Sehwan Park, but Dohyun is first-listed, so it counts under the stated primary statistic."
cai_1a82rny,Dong-Hyun Moon,Inha University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5314,SARIF: Segment Anything for Robust Image Forensics,resolved,https://imageinfo.inha.ac.kr/research.html,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_complete,No eligible prior first-listed work found in the official Inha CV lab conference-publication record. M2SFormer (ICCV 2025) is explicitly excluded because Ju-Hyeon Nam is first-listed and Dong-Hyun Moon is second-listed.
cai_4momyb,Dong-Woo Kim,Korea University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5826,TDSR-VLA: Transition-aware Denoising Sequence Representations for Vision-Language-Action,resolved,https://mintlab.korea.ac.kr/TDSR-VLA/index.html,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,The official project record is for the ECCV 2026 paper itself and therefore is not a prior work under the cutoff. No qualifying pre-cutoff first-listed paper was found in the reviewed official record; an exhaustive CV/publication ledger was not available.
cai_1r34pvk,Donggeon Bae,Seoul National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5659,Integrated Forward–Inverse Network for Reconstruction for Lensless Image Reconstruction,resolved,https://iilab.io/IFIN/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,The IFIN project is an ECCV 2026 paper after the cutoff and is excluded as prior work. The official project record does not provide a complete historical CV; no qualifying pre-cutoff first-listed paper was confirmed.
cai_14zol5l,Donghyun Kim,Emory University; Yonsei University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,3930,Delaunay Canopy: Building Wireframe Reconstruction from Airborne LiDAR Point Clouds via Delaunay Graph,resolved,https://dannyboy0103.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"The only earlier first-listed work found in the official personal page is PLATYPUS at AAAI 2025, outside the fixed venue scope. Delaunay Canopy is ECCV 2026 and after the cutoff. No qualifying prior first-listed work was confirmed, but the available page is not an exhaustive CV."
cai_180le5h,Dongsu Song,Korea Aerospace University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4370,SegPAR: Class-Centric Decision-Based Sparse Attack for Semantic Segmentation,resolved,https://proceedings.neurips.cc/paper_files/paper/2024/hash/9e770fcdb456400325c11d58b3a04d08-Abstract-Conference.html,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_incomplete,One verified eligible prior first-listed work is sufficient to establish that the candidate is not first-time under the audit rule. Exact total count is not asserted because no complete authoritative publication ledger was located.
cai_1q4k30l,E In Son,Seoul National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,3475,ORION: Ordinal Neural Collapse as a Representation Prior for Visual Navigation,resolved,https://ece.snu.ac.kr/en/research-faculty/research/groups?labidx=48&md=view,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"The reviewed official SNU publication list shows E-In Son only as a non-first author on listed RA-L/ICRA works; the ECCV 2026 ORION paper is after the cutoff. No qualifying prior first-listed work was confirmed, but exact zero is not asserted."
cai_qiaew2,Elena Camuffo,CLO Virtual Fashion,KOREAN_COMPANY,1,4917,MOCHA: Multi-modal Objects-aware Cross-arcHitecture Alignment,resolved,https://elenacamuffo.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_incomplete,"One verified qualifying first-listed IROS 2024 paper is sufficient to establish that the candidate is not first-time under the audit rule. The personal CV/publication page is not explicitly exhaustive, so an exact count is not claimed. CVPRW 2023, ICIP, ICASSP, and other non-scope works were excluded."
cai_1hjrh6i,Eungjune Shim,CLO Virtual Fashion Inc.,KOREAN_COMPANY,1,5678,DiffGI: Differentiable Geometry Images for High-Fidelity Thin-Shell 3D Generation,resolved,https://ejshim.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"The official personal site and the Catholic University graphics-lab publication page show prior cloth-simulation and medical-imaging works, but none are in the fixed venue scope as eligible first-listed papers. The listed prior works are Eurographics/Computer Graphics Forum, CAVW, JKGCS, and Applied Sciences; exact exhaustive zero is not claimed."
cai_ojgfc2,Eunyi Lyou,Seoul National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,3763,Domain Generalization via Text-Anchored Information Bottleneck,resolved,https://vip.snu.ac.kr/viplab/pub.html,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_complete,"The official lab publication list was reviewed for Eunyi Lyou. Her earlier first-listed paper, Modality-Aware Representation Learning for Zero-shot Sketch-based Image Retrieval, is WACV 2024 and therefore excluded by the fixed venue scope. No eligible first-listed CVPR/ICCV/ECCV/NeurIPS/ICLR/ICML/SIGGRAPH/SIGGRAPH Asia/IROS/ICRA/RA-L work was found in the listed record."
cai_cap2jl,GaHye Lee,POSTECH,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4158,StructureGS: Structure-aware Gaussian Splatting for Articulated Object Reconstruction,resolved,https://cg.postech.ac.kr/ourteam,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"Deep Polycuboid Fitting for Compact 3D Representation of Indoor Scenes (3DV 2025) is first-authored by Gahye Lee but 3DV is outside the fixed venue scope. The official team/news pages establish identity and the known prior, but do not expose an exhaustive personal publication list."
cai_8a1asp,Gahyeon Kim,ETRI,KOREAN_RESEARCH_INSTITUTE,1,5540,V-HOLD: Stabilizing Flow Trajectories to Rethink the Edit–Preservation Trade-off,resolved,https://ksp.etri.re.kr/ksp/article/read?id=67722,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,"The official ETRI record found is Virtual Hand Model Generation Through Size Modifications Of Hand Joint Feature Points for XR Interaction (ICCE Asia 2023), which is outside the fixed venue scope. No qualifying fixed-scope prior first-author work was found in the official ETRI record, but an exhaustive publication list was not available."
cai_aj6w7z,Ganghyeon Lee,Ulsan National Institute of Science and Technology,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4387,FeDepth: Federated Learning for Depth Estimation under Robot Heterogeneity,resolved,https://unist.info/?page_id=2181,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,The official UNIST lab publication list located no earlier in-scope first-author main-conference paper; FeDepth is ECCV 2026 and post-cutoff. No exact zero is asserted because the available profile is not a full CV.
cai_96gbai,Gayoung KIM,Ewha womans university,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4608,TiCRL: Textual Image Classification with Reinforcement Learning-Based Curriculum Learning,resolved,https://bigdataewha.github.io/en/team.html,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,No eligible top-tier prior first-author work was verified in the official lab/profile sources reviewed. TiCRL/ECCV 2026 itself is after the cutoff. Exact zero is not asserted without a complete CV.
cai_18fxd9z,Geo Ahn,Kyung Hee University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,3461,Why Can't I Open My Drawer? Mitigating Object-Driven Shortcuts in Zero-Shot Compositional Action Recognition,resolved,https://ahngeo.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_complete,DEVIAS is the verified earlier eligible first-listed paper. The personal publication list also shows only excluded workshop/preprint items besides the ECCV 2024 paper and the post-cutoff ECCV 2026 paper.
cai_1bubn2q,Geon Tack Lee,Korea Advanced Institute of Science & Technology; New York University Abu Dhabi,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,3650,Denoised Variance-Based Pruning with Optimal Brain Bias Compensation,resolved,https://davian.kaist.ac.kr/people,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_incomplete,No eligible prior in-scope first-author work was found; the exact ECCV 2026 paper is after cutoff. Exact zero is not asserted because no full CV was found.
cai_4b1r0v,Geon Yeong Park,Korea Advanced Institute of Science and Technology,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5538,3D-ReGen: A Unified 3D Geometry Regeneration Framework,resolved,https://geonyeong-park.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,6,identity_resolved_prior_work_complete,"Six eligible prior first-listed papers are recorded below. Other listed works are excluded because Park is not first-listed, venue is WACV/AAAI, or the item is a preprint/non-target venue."
cai_1sefwgj,Geonho Bang,Seoul National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5928,Horizon3D: Sparse Radar-Camera Fusion for Long-Range 3D Perception in Autonomous Driving,resolved,https://geonhobang.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,2,identity_resolved_prior_work_incomplete,"One verified eligible first-listed CVPR 2024 paper establishes that this author is not first-time in the defined prior-work scope. The personal page also lists two ICRA 2024 papers, one first-listed and one third-listed; no exhaustive cross-index review was attempted."
cai_pm0chr,GeonU Kim,Korea Advanced Institute of Science and Technology (KAIST),KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4040,Reflection-aware generative novel view synthesis,resolved,https://kim-geonu.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_complete,"The official publication list was reviewed through the cutoff. It contains qualifying CVPR/RA-L/ECCV papers, but GeonU Kim is not first-listed on any of them; no prior first-author paper was found. AAAI 2024 is outside the defined venue scope."
