candidate_identity_key,eccv_first_author_name,eccv_first_author_affiliation_raw,openalex_rank,openalex_author_id,openalex_display_name,openalex_orcid,openalex_last_known_institutions,openalex_works_count,openalex_cited_by_count,candidate_match_score,matching_signals,openalex_api_query_url,lead_status,notes
cai_2jhbnw,Changwoo Jeon,Yonsei University,1,https://openalex.org/A5077851700,Changwoo Jeon,https://orcid.org/0000-0002-8442-9394,"University of California, Los Angeles; Yonsei University",34,350,100,exact_normalized_name; canonical_affiliation_match; orcid_available,https://api.openalex.org/authors?search=Changwoo+Jeon&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_2jhbnw,Changwoo Jeon,Yonsei University,2,https://openalex.org/A5035848749,Chang-Woo Jeon,,,3,7,0,,https://api.openalex.org/authors?search=Changwoo+Jeon&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_2jhbnw,Changwoo Jeon,Yonsei University,3,https://openalex.org/A5014639670,Chang-Woo Jeon,,,7,3,0,,https://api.openalex.org/authors?search=Changwoo+Jeon&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_2jhbnw,Changwoo Jeon,Yonsei University,4,https://openalex.org/A5016039727,Jeon Changwoo,,,2,0,0,,https://api.openalex.org/authors?search=Changwoo+Jeon&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_efi1pk,Changyeon Won,GIST,1,https://openalex.org/A5088893064,C. Won,https://orcid.org/0000-0001-5987-7411,Yonsei University; Kyung Hee University; Gwangju Institute of Science and Technology,114,2134,40,canonical_affiliation_match; orcid_available,https://api.openalex.org/authors?search=Changyeon+Won&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_efi1pk,Changyeon Won,GIST,2,https://openalex.org/A5068986649,Changyeon Won,https://orcid.org/0000-0001-5335-2606,Gwangju Institute of Science and Technology,1,22,100,exact_normalized_name; canonical_affiliation_match; orcid_available,https://api.openalex.org/authors?search=Changyeon+Won&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_efi1pk,Changyeon Won,GIST,3,https://openalex.org/A5102193184,Changyeon Won,,Hongik University,4,4,60,exact_normalized_name,https://api.openalex.org/authors?search=Changyeon+Won&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_efi1pk,Changyeon Won,GIST,4,https://openalex.org/A5136008440,Changyeon Won,https://orcid.org/0000-0001-5987-7411,Kyung Hee University,1,1,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Changyeon+Won&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_hrvtmd,Chanhui Lee,POSTECH,1,https://openalex.org/A5064122653,Chanhui Lee,https://orcid.org/0000-0002-6401-5098,Kyung Hee University,80,5624,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Chanhui+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_hrvtmd,Chanhui Lee,POSTECH,2,https://openalex.org/A5102001221,Chanhui Lee,https://orcid.org/0009-0000-5144-6801,Kyungpook National University,3,31,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Chanhui+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_hrvtmd,Chanhui Lee,POSTECH,3,https://openalex.org/A5043544720,Chanhui Lee,https://orcid.org/0009-0003-2092-3670,Artificial Intelligence in Medicine (Canada),10,9,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Chanhui+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_hrvtmd,Chanhui Lee,POSTECH,4,https://openalex.org/A5104292938,Chanhui Lee,,Korea University,1,3,60,exact_normalized_name,https://api.openalex.org/authors?search=Chanhui+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_hrvtmd,Chanhui Lee,POSTECH,5,https://openalex.org/A5072512058,Chanhui Lee,https://orcid.org/0009-0007-7869-9105,LG (United States); Nemours Children's Clinic,8,3,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Chanhui+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_irr0x2,ChanYeong Hwang,Korea University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_1dmv880,Cheng-Yaw Low,Changwon National University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_bhhbue,Cheolhong Min,Seoul National University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_1w4p635,DAEHYEON JEON,UNIST,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_1jly6ub,DaeHyun Kim,Chungnam National University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_riq103,Daehyun We,Korea Advanced Institute of Science & Technology; Korea Advanced Institute of Science & Technology,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_hfk2wa,Daeun Lee,Seoul National University,1,https://openalex.org/A5101653308,Daeun Lee,https://orcid.org/0000-0003-3731-548X,Inha University,50,923,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Daeun+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_hfk2wa,Daeun Lee,Seoul National University,2,https://openalex.org/A5101653305,Daeun Lee,https://orcid.org/0000-0002-6684-3655,Gachon University; Seoul National University; SNUH SMG-SNU Boramae Medical Center; Keimyung University; Chung-Ang University,53,859,100,exact_normalized_name; canonical_affiliation_match; orcid_available,https://api.openalex.org/authors?search=Daeun+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_hfk2wa,Daeun Lee,Seoul National University,3,https://openalex.org/A5049930385,Daeun Lee,,University of North Carolina at Chapel Hill; University of North Carolina Health Care,10,603,60,exact_normalized_name,https://api.openalex.org/authors?search=Daeun+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_hfk2wa,Daeun Lee,Seoul National University,4,https://openalex.org/A5074975977,Daeun Lee,https://orcid.org/0000-0002-8517-7010,California Polytechnic State University,11,484,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Daeun+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_hfk2wa,Daeun Lee,Seoul National University,5,https://openalex.org/A5009800231,DaEun Lee,https://orcid.org/0000-0002-2902-276X,Daegu Catholic University; Keimyung University,18,304,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Daeun+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1frm1kx,Daeun Lee,Sung Kyun Kwan University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_168kmvb,Daeyeon Kim,POSTECH,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_1o6n2vf,Daeyoung Choi,Korea Cyber University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_qbdd0v,Daneul Kim,Seoul National University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_oxumrd,Doeon Kim,Soongsil university,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_18x3r1d,Dogyun Park,Korea University,1,https://openalex.org/A5031927349,Dogyun Park,,,4,139,60,exact_normalized_name,https://api.openalex.org/authors?search=Dogyun+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_18x3r1d,Dogyun Park,Korea University,2,https://openalex.org/A5024433701,Do-Gyun Park,https://orcid.org/0000-0002-5471-1065,Rural Development Administration; National Institute of Horticultural and Herbal Science,16,218,5,orcid_available,https://api.openalex.org/authors?search=Dogyun+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_18x3r1d,Dogyun Park,Korea University,3,https://openalex.org/A5037823099,Dogyun Park,,Korea University,9,22,95,exact_normalized_name; canonical_affiliation_match,https://api.openalex.org/authors?search=Dogyun+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_18x3r1d,Dogyun Park,Korea University,4,https://openalex.org/A5129093627,Dogyun Park,,,1,0,60,exact_normalized_name,https://api.openalex.org/authors?search=Dogyun+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_18x3r1d,Dogyun Park,Korea University,5,https://openalex.org/A5124044577,DoGyun Park,,,2,0,60,exact_normalized_name,https://api.openalex.org/authors?search=Dogyun+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1t7khxo,Dohun Lee,Korea Advanced Institute of Science and Technology,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_qogv77,Dohyun Kim,Korea University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_1a82rny,Dong-Hyun Moon,Inha University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_4momyb,Dong-Woo Kim,Korea University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_1r34pvk,Donggeon Bae,Seoul National University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_14zol5l,Donghyun Kim,Emory University; Yonsei University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_180le5h,Dongsu Song,Korea Aerospace University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_1q4k30l,E In Son,Seoul National University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_qiaew2,Elena Camuffo,CLO Virtual Fashion,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_1hjrh6i,Eungjune Shim,CLO Virtual Fashion Inc.,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_ojgfc2,Eunyi Lyou,Seoul National University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_cap2jl,GaHye Lee,POSTECH,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_8a1asp,Gahyeon Kim,ETRI,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_aj6w7z,Ganghyeon Lee,Ulsan National Institute of Science and Technology,1,https://openalex.org/A5144453144,Ganghyeon Lee,,,1,0,60,exact_normalized_name,https://api.openalex.org/authors?search=Ganghyeon+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_aj6w7z,Ganghyeon Lee,Ulsan National Institute of Science and Technology,2,https://openalex.org/A5144379602,Ganghyeon Lee,,,1,0,60,exact_normalized_name,https://api.openalex.org/authors?search=Ganghyeon+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_96gbai,Gayoung KIM,Ewha womans university,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_18fxd9z,Geo Ahn,Kyung Hee University,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_1bubn2q,Geon Tack Lee,Korea Advanced Institute of Science & Technology; New York University Abu Dhabi,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_4b1r0v,Geon Yeong Park,Korea Advanced Institute of Science and Technology,,,,,,,,,,,fetch_failed,OpenAlex 429
cai_1sefwgj,Geonho Bang,Seoul National University,,,,,,,,,,,fetch_failed,OpenAlex 429
